product_name,category,base_price,supplier,weight_kg,stock_status,rating
Wireless Earbuds,Electronics,79.99,SupplierA,4.49,Low Stock,4.0
Smartphone Case,Electronics,24.99,SupplierD,0.99,In Stock,4.2
USB-C Cable,Electronics,12.99,SupplierB,1.37,Low Stock,4.5
Bluetooth Speaker,Electronics,49.99,SupplierB,1.96,In Stock,3.6
Laptop Stand,Electronics,39.99,SupplierC,3.57,Low Stock,4.5
Webcam HD,Electronics,69.99,SupplierD,3.56,Low Stock,4.2
Wireless Mouse,Electronics,29.99,SupplierC,4.01,In Stock,3.9
Mechanical Keyboard,Electronics,89.99,SupplierD,2.65,Low Stock,4.0
Monitor Light,Electronics,34.99,SupplierA,4.74,In Stock,4.7
Power Bank,Electronics,44.99,SupplierA,3.21,In Stock,4.6
Coffee Maker,Home & Kitchen,59.99,SupplierA,0.91,In Stock,3.6
Blender,Home & Kitchen,45.99,SupplierC,2.82,In Stock,4.7
Air Fryer,Home & Kitchen,89.99,SupplierA,4.81,In Stock,4.5
Kitchen Scale,Home & Kitchen,19.99,SupplierB,2.45,In Stock,4.1
Water Bottle,Home & Kitchen,14.99,SupplierB,4.56,In Stock,4.6
Lunch Box Set,Home & Kitchen,24.99,SupplierC,1.3,In Stock,4.4
Cutting Board,Home & Kitchen,22.99,SupplierB,3.41,Low Stock,3.8
Knife Set,Home & Kitchen,54.99,SupplierC,4.21,In Stock,4.9
Food Container Set,Home & Kitchen,29.99,SupplierD,2.53,Low Stock,4.1
Electric Kettle,Home & Kitchen,34.99,SupplierA,1.76,Low Stock,4.7
Cotton T-Shirt,Clothing,19.99,SupplierA,1.52,In Stock,3.9
Denim Jeans,Clothing,49.99,SupplierB,0.11,In Stock,3.8
Sneakers,Clothing,79.99,SupplierC,4.65,In Stock,4.9
Winter Jacket,Clothing,99.99,SupplierD,0.38,In Stock,4.4
Wool Sweater,Clothing,54.99,SupplierC,1.56,In Stock,3.5
Sports Shorts,Clothing,29.99,SupplierB,2.07,In Stock,3.7
Running Shoes,Clothing,89.99,SupplierD,1.07,Low Stock,4.1
Baseball Cap,Clothing,17.99,SupplierD,0.13,In Stock,3.8
Leather Belt,Clothing,34.99,SupplierD,1.93,In Stock,4.1
Casual Dress,Clothing,59.99,SupplierB,2.73,In Stock,3.7
Python Programming Book,Books & Media,44.99,SupplierD,3.32,In Stock,3.7
Data Science Handbook,Books & Media,39.99,SupplierC,3.76,In Stock,4.0
Fiction Bestseller,Books & Media,16.99,SupplierB,0.64,In Stock,3.6
Cookbook,Books & Media,29.99,SupplierD,2.16,In Stock,4.9
Self-Help Book,Books & Media,14.99,SupplierB,3.36,In Stock,4.9
Journal Notebook,Books & Media,12.99,SupplierC,0.68,In Stock,4.3
Art Supplies Set,Books & Media,34.99,SupplierB,1.69,In Stock,4.3
Board Game,Books & Media,29.99,SupplierD,0.74,In Stock,4.7
Puzzle 1000pc,Books & Media,19.99,SupplierB,0.86,In Stock,4.7
Audiobook Subscription,Books & Media,9.99,SupplierB,0.35,In Stock,4.1
Vitamin Supplements,Health & Beauty,24.99,SupplierA,2.23,In Stock,3.9
Yoga Mat,Health & Beauty,29.99,SupplierA,3.83,Low Stock,4.4
Resistance Bands,Health & Beauty,19.99,SupplierB,1.32,In Stock,4.8
Face Moisturizer,Health & Beauty,22.99,SupplierB,3.37,In Stock,3.8
Shampoo Set,Health & Beauty,18.99,SupplierA,3.54,Low Stock,3.8
Electric Toothbrush,Health & Beauty,49.99,SupplierB,1.22,Low Stock,4.1
Sunscreen SPF50,Health & Beauty,14.99,SupplierC,4.95,Low Stock,4.1
Hair Dryer,Health & Beauty,39.99,SupplierB,0.55,In Stock,4.1
Massage Gun,Health & Beauty,79.99,SupplierC,3.53,Low Stock,3.8
First Aid Kit,Health & Beauty,29.99,SupplierD,2.45,In Stock,4.5
